Valor,Frecuencia
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0]",327
"[0, 1, 0, 1, 0]",258
"[1, 0, 0, 0, 0, 0, 0, 1, 0]",250
"[1, 1, 1, 0, 1, 0, 0, 1, 0]",233
"[0, 0, 1, 0, 1, 0]",225
"[0, 0, 0, 0, 1, 0, 1, 0]",225
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",217
"[1, 1, 1, 0, 1, 0, 1, 0]",215
"[0, 0, 0, 1, 0, 1, 0]",214
"[1, 0, 0, 0, 0, 1, 0]",179
"[0, 1, 0, 1, 0, 1, 0, 1, 0]",163
"[1, 1, 0, 0, 0, 1, 0]",150
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",141
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",141
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",138
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",138
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",131
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90
"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",88
"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",87
"[1, 1, 1, 0, 1, 0, 0, 0]",85
"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",80
"[1, 0, 1, 0]",79
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",79
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",77
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",74
"[1, 0, 1, 0, 1, 0, 0, 1, 0]",73
"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",71
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",70
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",69
"[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",69
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",69
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",67
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",67
"[1, 1, 0, 1, 0, 1, 0]",66
"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",66
[0],65
"[1, 1, 1, 0]",64
"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",63
"[1, 0, 0, 0, 0, 1, 0, 0, 0]",62
"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]",61
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]",60
"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",60
"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",58
"[1, 1, 1, 0, 1, 0, 1, 0, 0]",58
"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",57
"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",55
"[1, 0, 0, 0, 0, 0, 1]",55
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",53
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",53
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",53
"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",51
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",47
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",46
"[1, 0, 0, 0, 0, 1, 0, 1, 0]",45
"[0, 1, 0, 0, 0, 1, 0, 1, 0]",44
"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",43
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",43
"[1, 1, 1, 0, 1, 0, 0]",43
"[1, 0, 0, 1, 0]",43
"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",43
"[1, 1, 1, 0, 0, 1, 1, 1, 0]",42
"[1, 0, 0, 0, 0, 1, 0, 1]",41
"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",39
"[1, 0]",38
"[1, 1, 0, 0, 0, 0, 1, 0]",36
"[1, 1, 1, 0, 0]",36
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",35
"[1, 1, 0]",34
"[1, 0, 0, 0, 0]",34
"[1, 0, 0, 0, 1, 1, 0]",33
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",32
"[1, 1, 1, 0, 0, 0, 0, 0, 0]",30
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",29
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",29
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",29
"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",28
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",28
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",28
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",28
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",28
"[1, 0, 0, 0, 1, 0, 0, 0]",28
"[1, 0, 1, 0, 0, 1, 0, 0]",28
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",27
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",27
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",26
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",26
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",26
"[0, 0, 0, 1, 0, 0]",26
"[1, 1, 0, 1, 0, 0, 0]",25
"[1, 0, 0, 1, 1, 0]",25
